Uuid, Void/Retire, Service Name, Short Name, Concept, Service Type, Service Status
b4029a88-d2f1-441f-8c9b-26a7d63bb2d4,,Amoxlclav 1G 14 pk (clavulin brand),Amoxlclav 1G 14 pk,352bb350-aeff-40c4-9b2e-825a3024ccf2,Drugs,Enabled
406ee875-cd3f-48e1-9cf7-8b920c738679,,Amoxclav 625mg 15 pack,Amoxclav 625mg 15 pack,91ee7868-b57b-438a-884b-eb58bf6fc89f,Drugs,Enabled
0a138ea2-a01c-4e9d-9672-328b5a5c3ffa,,Aldendazole 400mg,Aldendazole,fc86ce4c-b055-4be5-b219-e6bbb86b0eb6,Drugs,Enabled
c8181f35-9eb2-4e18-acfa-c6e58408e718,,Amitriptyline 25mg,Amitriptyline,502f9292-97fc-488d-a75a-d060424039f7,Drugs,Enabled
18ae520d-0610-4e01-8c08-7d46a31af27b,,Amlodipine 5mg 28pk,Amlodipine,e9207386-cb95-438a-8436-8cf1e5837077,Drugs,Enabled
b391432b-280e-47c6-aee0-012e0169b4db,,Amlodipine + Nebivolol (Nebilong AM),Amlodipine + Nebivolol (Nebilong AM),64a9d255-0fc9-45f7-84cc-0d1c4e4d832e,Drugs,Enabled
f6e1859c-6812-4153-9ef2-1f7b40da5877,,Aminosidine 250mg,Aminosidine,96ef651b-56c7-4cd7-bb65-8880dcecaa8e,Drugs,Enabled
a9b9ece3-fc71-4d01-a8cc-da0fdd18f72b,,Amlozar H,Amlozar H,02a4b852-4411-4083-b832-e962bf899d02,Drugs,Enabled
15500b12-e9eb-4a9a-9fa9-45d6bd6dc660,,Azithromycin 250mg 6pk,Azithromycin,9303c071-955d-4cad-a897-ec03ffb6f042,Drugs,Enabled
1bcd7cbf-6010-4489-8643-947ee4794d42,,Azithromycin 500mg 3pk,Azithromycin,9303c071-955d-4cad-a897-ec03ffb6f042,Drugs,Enabled
6e961378-043f-4a4b-ae3a-65ff5ac45210,,Augmentin Clavulin Brand 625mg,Augmentin Clavulin Brand,9e6e513c-b9d3-48a5-8bde-2b665cdf51e1,Drugs,Enabled
08b39917-d22d-4b40-aa68-2985a956f8f5,,Augmentin Clavulin Brand 1000mg(1gm),Augmentin Clavulin Brand,9e6e513c-b9d3-48a5-8bde-2b665cdf51e1,Drugs,Enabled
9e933122-2953-43cd-99b2-ed225bc18c83,,Augmentin original (Augmentin brand),Augmentin original (Augmentin brand),47e6c3bd-fe3d-4f23-b90c-a3cbd908ba5b,Drugs,Enabled
8434d00f-7191-4b86-b2b4-593037d6944f,,Amoxicillin 250 mg 100pk,Amoxicillin,794afacb-f538-49b9-b9bc-3255b2f69f59,Drugs,Enabled
27c4ef7f-7af1-4fca-8c1c-032afa14d8f9,,Amoxicillin 500mg 100pk,Amoxicillin,794afacb-f538-49b9-b9bc-3255b2f69f59,Drugs,Enabled
66bee7ee-912f-4e3e-bbc4-0a168da90bf1,,Acyclovis 400mg,Acyclovis,1939e796-7cdc-4d13-a796-080da335d0ac,Drugs,Enabled
f936fe87-f3a5-4537-9fe2-252bf5083b8d,,Acyclovir 200mg,Acyclovir,7aa3b2bb-e80b-4c9d-9a48-617e60aad93f,Drugs,Enabled
802c6561-15b1-4ddc-a942-a9d8321d576e,,Asprin 75mg,Asprin,b7768ac2-ae79-44ce-a68f-4d8b77831a33,Drugs,Enabled
a89fc596-2183-4d95-a697-280607fe7a1b,,Amoxicillin 250mg + flucloxacillin 20pk [Megamox],Amoxicillin 250mg + flucloxacillin,794afacb-f538-49b9-b9bc-3255b2f69f59,Drugs,Enabled
be567f2d-c4f0-4e4d-9b1b-6addfd0da248,,Amox/clav 625mg 15 pk,Amox/clav,a868fd2e-7cae-410e-b8c1-6b8ce8ddd2bd,Drugs,Enabled
9aaa2517-42e1-4bde-aa53-8c5f4e3b9da0,,Activated charcoal 100 tabs,Activated charcoal,477f8424-f7e3-47a4-bfce-9b4d0655bee7,Drugs,Enabled
fae138f3-b292-4c07-8941-0ca200b63f8e,,Atenolol 50mg,Atenolol,487eb3ff-507e-4d62-b19d-e3f8dfd82197,Drugs,Enabled
16c540c0-b2b8-4274-9f57-6df73f419d67,,Atrovastatin Calcium 10mg,Atrovastatin Calcium,443bf423-092c-4c3a-95d5-f3f5547ece71,Drugs,Enabled
850cd775-fee8-4dcf-a746-c7b3737a5304,,Atrovastatin 20mg,Atrovastatin,80287481-034d-4331-9fdd-9816629dc4c0,Drugs,Enabled
25629b38-90e9-48c6-a565-2a862966589b,,Benzhexol hydrochroride 5mg 100pk,Benzhexol hydrochroride,426b3c9c-b8aa-4ee6-a7fe-595f686ad796,Drugs,Enabled
551b0e21-942a-441f-8078-b5b23c0fb08e,,Bonium tablets,Bonium tablets,95625867-4a1f-43e2-9dfd-a56625c19332,Drugs,Enabled
4e91d85e-9454-44cf-b74a-3ba822562bbd,,Bisacodyl 5mg,Bisacodyl,1444cd97-0bfe-4c5d-8006-f23b4800a7e8,Drugs,Enabled
9bca7bd5-2e81-4a30-87ae-a7b729941a4b,,Bromazepam 3mg,Bromazepam,a078465a-3dcd-4dad-9db5-18aa43a679cc,Drugs,Enabled
dba0e570-9cd5-42bf-83b2-2ddd9fffae1a,,Carbimazole 5mg,Carbimazole,57f1fb6d-774f-4a96-87a5-a04395e87697,Drugs,Enabled
43b5cb13-f11a-408d-b843-bf7d8972ef16,,Calcium + vit D,Calcium + vit D,11edbea7-6113-4dfd-9331-ddb24a28efd5,Drugs,Enabled
7de0fbbf-8371-4119-a405-2dd8b669685d,,Celecoxib 200mg,Celecoxib,4ec61b08-dbb1-4281-a19c-21460c89d9a4,Drugs,Enabled
8d473e4c-cc3b-4f08-a6bf-a6b26cf32476,,Cold flu,Cold flu,abb9207e-2143-4926-8b78-d4c2802ff7db,Drugs,Enabled
bbf71caa-ac55-47d2-a41b-d8c5719a56b4,,Cetrizine 10mg,Cetrizine,c7bb2574-2a04-4fac-b67c-0c19dc308d34,Drugs,Enabled
e8aba45d-bc72-449f-a469-fcef597c9f74,,Clarithromycin 500g,Clarithromycin,436219be-3f09-413a-9207-86db70f7897f,Drugs,Enabled
aa9f938d-ad02-4589-a717-7525bd6a37f7,,Cefixime 200mg,Cefixime,4316906b-9ef4-4326-bd76-2988beed82a4,Drugs,Enabled
84d9e0c2-aa6d-4aac-ba18-781a8c999f34,,Cefuroxime 500mg,Cefuroxime,e96e87d2-0189-453c-9fc5-071f56d12e59,Drugs,Enabled
45ed32f1-ec7f-46a7-b53c-7ae85c82bee2,,Cefuroxime 250mg,Cefuroxime,e96e87d2-0189-453c-9fc5-071f56d12e59,Drugs,Enabled
055b8a39-adf4-44e4-912a-f6d357ed7b1f,,Cotrimoxazole 960mg,Cotrimoxazole,8d432d5a-3c45-4d52-af1e-9c4798367b6d,Drugs,Enabled
2ee8871f-29f3-4fb3-b98e-3080a8887db2,,Cotrimoxazole 400mg,Cotrimoxazole,8d432d5a-3c45-4d52-af1e-9c4798367b6d,Drugs,Enabled
bf2f727b-92b9-48f7-84c1-6824672dda1b,,Cloxacillin 250mg,Cloxacillin,05648f58-af2d-405c-a239-692f662da6c4,Drugs,Enabled
00e12c15-229b-4970-ba98-114fe257b4cc,,Cefalexin 250mg,Cefalexin,1d2f4af5-6acf-4e5b-b49a-811682b00dbb,Drugs,Enabled
2a97aa7b-9d75-481b-bee1-4e1fa0b6ed91,,Cefalexin 500mg,Cefalexin,1d2f4af5-6acf-4e5b-b49a-811682b00dbb,Drugs,Enabled
126003fe-1bd0-4a16-82d5-85bcd3e26dca,,Clindamycin 150mg,Clindamycin,76baf3f4-17ae-4af6-a2bf-2a322faaad2b,Drugs,Enabled
90b076c5-8e66-4298-b85f-1f32860f0887,,Clindamycin 300mg 16pk,Clindamycin,76baf3f4-17ae-4af6-a2bf-2a322faaad2b,Drugs,Enabled
0be238e1-2064-4ac6-b584-1ce2a60cfb71,,Diazepam 5mg,Diazepam,5561f6be-ca2a-49d3-9462-a99b95f2525c,Drugs,Enabled
027dd307-9777-4172-a5ed-8b4fda0d90bd,,Dexamethasone 4mg,Dexamethasone,a16cf8ce-2d81-40eb-ae98-c1e3cccfc0f0,Drugs,Enabled
37d57681-7123-4877-9153-4f2725e953d3,,Doxycycline,Doxycycline,401f5767-dc54-4446-ac95-4b32a95631ce,Drugs,Enabled
a2cd101a-eefc-49ce-a814-e544f1398748,,Doxylamine/Pyridoxine( NOSIC),Doxylamine/Pyridoxine( NOSIC),99a7688f-560f-4d0c-b916-f99805c75764,Drugs,Enabled
515bf51a-7130-4406-9b87-182045ca669b,,Domperidone 10mg,Domperidone,b68192db-fc09-445f-9232-0ba54858e41d,Drugs,Enabled
041c3bb1-7a92-4b10-ae01-7d7da0621cd6,,Chlorpromazine 25mg,Chlorpromazine,b50c9258-d3cc-43ea-9855-1c2b685f4aa9,Drugs,Enabled
107513a9-4511-4534-8604-2034bdf9633d,,Enalapril 5mg & 10mg,Enalapril,91a76638-577c-4f59-9ee3-f509759f1a83,Drugs,Enabled
bc1bc00d-a5aa-4154-84ff-d8af59006e89,,Flucloxacillin 250mg,Flucloxacillin,c69819a1-8a9d-4602-b33d-a149bdd88d9b,Drugs,Enabled
e342ebf1-161a-4988-86f8-bcbabf388527,,Flucloxacillin 500mg,Flucloxacillin,c69819a1-8a9d-4602-b33d-a149bdd88d9b,Drugs,Enabled
73b0fcc8-4864-4187-bb1b-68313b411998,,Folic acid 5mg,Folic acid,b6003e87-dbc3-4fd6-973a-fdc105a42e24,Drugs,Enabled
5b0e7604-496d-4f3b-af84-b76d53572bc5,,Fluconazole 200mg,Fluconazole,b2f80719-190d-44d7-84ed-4ff43bad7469,Drugs,Enabled
c5706554-5e8e-4544-993a-54d70bd4d921,,Furosemide 40mg (LASIX),Furosemide,a791d430-7353-49da-8428-86f06cf73d85,Drugs,Enabled
b8a970de-0926-4f1a-9876-fea6f7e23e5b,,Gabapentin 300mg,Gabapentin,85c61da8-e1b1-410c-9ee1-ee7e8ffcebcf,Drugs,Enabled
075720db-9ea9-4e24-a701-21623e7bb72b,,Griseofulvin 125mg,Griseofulvin,e624afe0-eb8b-41df-8409-0c1dc6f73037,Drugs,Enabled
26ffbbcd-7b43-4270-b30d-f33d7e92cc69,,Griseofulvin 250mg,Griseofulvin,e624afe0-eb8b-41df-8409-0c1dc6f73037,Drugs,Enabled
2c32ac34-5d61-4cad-a8c4-a2a97e65c838,,Griseofulvin 500mg,Griseofulvin,e624afe0-eb8b-41df-8409-0c1dc6f73037,Drugs,Enabled
8c52cf10-78b5-42ea-81ac-ae8947c66653,,Glibenclamide + Metformin 500mg,Glibenclamide + Metformin,4a25550c-ec3f-4682-9bc8-0ec2b508de51,Drugs,Enabled
b0eee744-3016-47dc-a769-190c7725d36a,,Haematinic caps,Haematinic caps,f7d2ca96-1816-4674-9d9c-c3ac3d628302,Drugs,Enabled
600002fd-be17-4b18-a919-b3a28b9cf0a3,,HPylori KIT,H Pylori KIT,8a47f4d9-7d6e-4ca7-9f5a-f168ad9670a4,Drugs,Enabled
2c782e50-0d61-497d-9a51-52c9c6e14898,,Hydrochlorathiazide 50mg,Hydrochlorathiazide,ea3873ed-5040-4809-a778-a3a512b26c26,Drugs,Enabled
794e089c-2bec-4a5e-863a-9a9a5504568c,,Hyoscine butylbromide(buscopan),Hyoscine butylbromide,44dbd31a-7c2d-422d-b584-004532e4aaff,Drugs,Enabled
2a607630-bc1f-49e0-b0f9-9cd34b0b8b74,,Levofloxacin 500mg,Levofloxacin,98dbb9b2-9859-4b68-b08a-78f88f629d40,Drugs,Enabled
768f8b76-2da0-492b-865f-5da01a489c78,,Loperamide 2mg,Loperamide,93300946-bfe5-4db1-b715-c565420df9d6,Drugs,Enabled
f9a6346c-d1a6-48dc-8092-7448638b4086,,Losartan Potassium 50mg,Losartan Potassium,da7c647f-f57b-4f99-a2ae-ae142603d984,Drugs,Enabled
fe4838c5-346c-45be-8bfc-07e1833a0905,,Metformin 850mg,Metformin,7668c1a1-5636-47d3-981a-1207292fcfcf,Drugs,Enabled
a168f3e7-6230-4c90-90cd-25cf85bce6e6,,Metformin hydrochloride 500mg,Metformin hydrochloride,88adea30-cf30-4368-b9aa-409d47d55569,Drugs,Enabled
79b24d73-256a-4819-bcdd-da145594f3b2,,Mebendazole 500mg,Mebendazole,a3b229cd-b5a3-4eaf-8a48-b51182d63908,Drugs,Enabled
97f64017-8ab8-4fdd-bf87-54e548b53d30,,Multivitamin tablets,Multivitamin tablets,2f5deb62-1ae1-46da-be94-9d416cae0dd1,Drugs,Enabled
8d30c094-6e99-41be-952b-8d476f5840ee,,Montelukast 10mg,Montelukast,a194e521-5d12-446e-b44c-c4b625105c37,Drugs,Enabled
3272e439-b0cd-4bff-b386-eb56234b17f4,,Morphine 10 mg,Morphine,e419207b-eb30-4413-8b82-1f53b87cc0b3,Drugs,Enabled
1333530d-35fc-4602-9d27-11cb0afcb1c4,,Metrionidazole 400mg,Metrionidazole,2dfa48bc-d03b-4e78-8844-e6df01e9b924,Drugs,Enabled
957f62f3-4b91-4a47-8766-14fd5f3c375c,,Metrionidazole 200mg,Metrionidazole,b0c31980-b5f9-4cdd-b2ee-b957fa4d96e1,Drugs,Enabled
0caa1a1b-60fb-47d6-a15c-ffab7ffe6b0f,,Metrinidazole + Diloxide 900mg,Metrinidazole + Diloxide,f895c025-7092-4384-9132-62cf26d81a63,Drugs,Enabled
1c3b4a5e-160d-4cf6-9c84-9d16f78e32b0,,Myospaz,Myospaz,f7f5f43e-304f-455c-a396-0e1159bc5902,Drugs,Enabled
99868949-4d37-4995-8e24-bbeb2a415cb4,,Meloxicam 15mg,Meloxicam,13e8315b-943d-4039-995d-9955b238c109,Drugs,Enabled
9f526a96-03f4-427d-b1b1-2e34ef93d761,,Mefenamic Acid 250mg,Mefenamic Acid,a36ade8a-d376-4c3c-a770-de2791bdad49,Drugs,Enabled
0b8ac78c-4bc0-4e22-b521-a880e1a3908d,,Mefenamic Acid 500mg,Mefenamic Acid,a36ade8a-d376-4c3c-a770-de2791bdad49,Drugs,Enabled
e8fb7e24-0608-44da-85c0-ad128183336c,,Methyldopa,Methyldopa,cab6398a-a1dd-434e-882f-4410a0db6446,Drugs,Enabled
0d3a7246-e855-49ad-96f1-5d4711c0912b,,Norfloxacin 400mg,Norfloxacin,01b3ff61-874b-496a-8572-e4009bdcd554,Drugs,Enabled
4e744a5e-ced5-4dfa-ba25-b6b501d8ac29,,Norfloxacin 100pk,Norfloxacin,01b3ff61-874b-496a-8572-e4009bdcd554,Drugs,Enabled
0b5a43a0-48a6-49ed-abc2-836d2c7e1e33,,Nifedipine 20mg,Nifedipine,960acf61-cb22-4f57-844d-5323ee272c30,Drugs,Enabled
6e009847-16c6-40c1-939c-87305f8797f9,,Nitrofurantoin 100mg,Nitrofurantoin,8ca26ec0-33a3-49b7-b931-270d36abb3c3,Drugs,Enabled
b5b377eb-11ed-4a6e-89e1-8cc1db836277,,Nebivold 5mg & 10mg,Nebivold,4be90f7c-6f69-413f-bdfb-cc84ba8c549a,Drugs,Enabled
2790c62b-bb9f-4520-be37-353a365fc114,,Ondansetron 4mg,Ondansetron,8f442e8f-10b8-470b-8491-cc3cfdb1a10e,Drugs,Enabled
c0adce14-8122-48c4-bd13-b3eddcdcbb5c,,Omeprazole 20mg,Omeprazole,24e47e63-4e17-4360-8513-9d8fbee6cb9e,Drugs,Enabled
dd2819ef-199c-4fe7-8bdb-657f4f5d3841,,Paracetamol1 g,Paracetamol1,a8f291fe-ff16-4ef2-a5c6-6b4616e063eb,Drugs,Enabled
6e7ec308-481b-4f65-b865-913c3012be3b,,Pynstop,Pynstop,91d2450c-dd13-469b-a9e8-1134599e5041,Drugs,Enabled
a7a4dfa3-47d1-4fc1-b444-3fde53dcbef3,,Phenobarbitone 30mg,Phenobarbitone,8d230fbb-859f-492e-bca4-dd55111f3d04,Drugs,Enabled
fb8974dd-685f-4122-a58a-d1e5016422fd,,Pronerve 75mg/750mg(pregabalin),Pronerve,709afb2c-3335-4cf7-bfc3-28278c67a08b,Drugs,Enabled
2109cbc5-a7f0-4384-ada9-fe4c051def0a,,Prednsolene 10mg,Prednsolene,c3ef6727-7c89-4a5b-8577-3dbcbdb3c987,Drugs,Enabled
00953795-7e65-4cd0-8eb8-15df70a53abe,,Pregabalin 75mg,Pregabalin,5a9abf38-6186-4675-bb1f-be07818d950c,Drugs,Enabled
c7373e9a-9838-4164-9fe4-795c7d440756,,Pregnacare,Pregnacare,f51c5948-db5a-4050-b93e-836a95b7d874,Drugs,Enabled
278a281b-bfc9-434c-bf4f-8384339eee74,,Primolut N,Primolut N,04172535-cb12-4d3e-b6be-24e8166fe343,Drugs,Enabled
254ea681-8b38-4666-b23b-3577b829cde2,,Promethszine 25mg,Promethszine,5558ae25-e094-4ee0-b1b4-ab5d6824766e,Drugs,Enabled
3ef278be-3798-47c0-8ff6-07511e6e4d5f,,Phenorbabital,Phenorbabital,00940ba0-fcf1-4ee0-854d-737b57759621,Drugs,Enabled
adbb9282-f157-47ed-aeb2-1969320261e0,,Phenobarb,Phenobarb,ff92754e-f3b5-4094-a9fa-f5a6982cc06f,Drugs,Enabled
3109c4ce-0e81-4201-b8d8-a3d8e1b9e330,,Pyridoxine HD,Pyridoxine HD,833e8285-ed6b-479d-8a31-88161d910f22,Drugs,Enabled
b31a9765-6865-4566-a72c-b2344d9d54da,,Secnidazole 500mg,Secnidazole,89cf911d-8069-406e-b1f2-ce47374144b5,Drugs,Enabled
cbfec3a8-5332-47d1-99d8-08ab2d11126c,,Sodium Valproate 200mg,Sodium Valproate,ef657742-e4b6-42ee-9695-ee719edf4541,Drugs,Enabled
ef9934ae-b58d-46bb-a91e-bc792e18535f,,Sulfadoxine/Pyrimethamine,Sulfadoxine/Pyrimethamine,318613c3-cca5-42f5-929d-12bc650e530d,Drugs,Enabled
7b15734d-c8a9-4490-be39-2132059388a5,,Salbutamol tabs,Salbutamol tabs,a98faefd-8a14-44bb-a5b2-4801c031a0fb,Drugs,Enabled
44944037-24ba-4087-be2a-ca8aea52003a,,Triviamet,Triviamet,734a034c-4e8a-4829-a589-31d75bedd388,Drugs,Enabled
ecaf868a-e634-4e8f-8aaa-c8c41ccb095f,,Tranexamic Acid 500mg,Tranexamic Acid,200d6d28-dcb6-4402-a47f-8c028d7cff01,Drugs,Enabled
d06c08be-9b3c-4c68-9143-7ae910a9139b,,Tramadol caps,Tramadol caps,b97ea147-81e8-480d-98ce-6a1231c0748a,Drugs,Enabled
586e1df2-c2fd-4594-8783-0bde7e57ad36,,Triokit (Azithromcyn +Fluconozole),Triokit (Azithromcyn +Fluconozole),17f95bff-43ed-4068-bb14-1ad66f59d507,Drugs,Enabled
7dc576e6-15cb-4485-b894-5eb6be11ada7,,Vitamin D,Vitamin D,cda8c7e2-518d-4a01-bd40-16660bf0dbe2,Drugs,Enabled
a14d4af9-5aef-4e7d-9453-6757e9fef6b9,,ZyrtalMR,ZyrtalMR,def89609-0507-4688-9870-dea97756d8ce,Drugs,Enabled
4e96e2ac-6377-4be0-b2f7-91edbd9a2d55,,ZULU plain,ZULU plain,24174aea-7438-44f9-882d-51af1122be7c,Drugs,Enabled
3c28f63d-11d7-4d70-8396-8da4196abe7c,,ZULU MR,ZULU MR,5a312db2-37ef-4e67-a53c-7b69316e6376,Drugs,Enabled
722a5896-b3d6-456f-99d5-81c89251a708,,Zinc Sulphate,Zinc Sulphate,60e97f17-7ca2-4a62-ba4e-36889ff27377,Drugs,Enabled
